ID,Title,Short Description,Contributors,Mentors,Organization,GSoC Archive Link,Reflection Link,Challenges,Learn,Details,Pull Links,Issue Links,Tech Stack,Topics
1, Casbin for .NET & Casdoor .NET SDK ,"Casbin for .NET: a. Feature Request: subjectPriority b. Support ""in"" special grammar c. Validate and compile matcher when loading model d. Improve...", sociometry ," Mentor  Yang Luo, Sagilio ", Organization  Casbin ,/archive/2022/projects/5aHLiSHA,https://gist.github.com/sociometry/5b0d86d68585c12b42b7b5ad42736064,No,Yes,"Casbin for .NET:
    a. Feature Request: subjectPriority
    b. Support ""in"" special grammar
    c. Validate and compile matcher when loading model
    d. Improve the unit test coverage

Casdoor .NET SDK:
    a. Provide console native app and web app samples

Enhance ecosystem:
    a. Support ASP.NET Core and Blazor (Enhance Casbin.AspNetCore)
    b. Provide Official Redis adaptor/watcher.","['https://github.com/casbin/Casbin.NET/pull/253', 'https://github.com/casbin/Casbin.NET/pull/265', 'https://github.com/casbin/Casbin.NET/pull/266', 'https://github.com/casbin/Casbin.NET/pull/267', 'https://github.com/casbin/Casbin.NET/pull/271', 'https://github.com/casbin/Casbin.NET/pull/275', 'https://github.com/casbin-net/efcore-adapter/pull/60', 'https://github.com/casbin-net/efcore-adapter/pull/61', 'https://github.com/casbin-net/redis-adapter/pull/1', 'https://github.com/casbin-net/redis-adapter/pull/2', 'https://github.com/casbin-net/redis-adapter/pull/7', 'https://github.com/casbin-net/redis-adapter/pull/8', 'https://github.com/casbin-net/redis-watcher/pull/1', 'https://github.com/casdoor/casdoor-dotnet-sdk/pull/29', 'https://github.com/casdoor/casdoor-dotnet-sdk/pull/30', 'https://github.com/casdoor/casdoor-dotnet-winform-example/pull/2', 'https://github.com/casdoor/casdoor-dotnet-winform-example/pull/5', 'https://github.com/casdoor/casdoor-dotnet-winform-example/pull/6', 'https://github.com/casdoor/casdoor-dotnet-sdk-example/pull/2', 'https://github.com/casdoor/casdoor-dotnet-sdk-example/pull/4']",['https://github.com/casbin/casbin/issues/1039'],.net,security
2, Echoshader: Interactive visualization of ocean sonar data ,"Echoshader, an open source project, aims to enhance the ability to interactively visualize large amounts of cloud-based data to accelerate the data...", Dingrui Lei ," Mentor  Valentina Staneva, Wu-Jung Lee, Brandon Reyes, Don Setiawan, Emilio Mayorga ", Organization  IOOS ,/archive/2022/projects/iWuQqugy,https://github.com/OSOceanAcoustics/echoshader/wiki/Google-Summer-of-Code-2022,No,Yes,"Echoshader, an open source project, aims to enhance the ability to interactively visualize large amounts of cloud-based data to accelerate the data exploration and discovery process. Ocean sonar data is generated from echopype, which handles the normalization, preprocessing and organization of echo data. Echoshader will be developed in parallel with the ongoing development of echopype.

As a participant of GSoC, I will develop the main APIs of echoshader based on the HoloViz suite of tools, test configuration for using echoshader widgets in Panel dashboards, and create Jupyter notebooks to demo use of the combination of tools. The main technology stacks used are Hvplot, Panel, folium and PyVista.",[],"['https://github.com/OSOceanAcoustics/echoshader/issues/51', 'https://github.com/OSOceanAcoustics/echoshader/issues/59']","python, numpy, xarray, hvplot, holoview, Panel, folium, PyVista","visualization, data processing, Interaction"
3, Add Gen converter to ArviZ.jl (Julia) ,"ArviZ's purpose is to provide backend-agnostic tools for exploratory analysis of Bayesian models. To do so, we transform data from probabilistic...", S I Harini ," Mentor  Seth Axen, Ravin Kumar ", Organization  NumFOCUS ,/archive/2022/projects/Psg95wBG,https://github.com/arviz-devs/ArviZGen.jl,No,Yes,"ArviZ's purpose is to provide backend-agnostic tools for exploratory analysis of Bayesian models. To do so, we transform data from probabilistic programming frameworks to InferenceData, which we can then use in our plotting. Besides removing the need to explicitly import ArviZ with PyCall.jl, ArviZ.jl extends ArviZ with functionality for converting Julia types into ArviZ's InferenceData format. It also allows smoother usage with PyPlot.jl and provides functions that can be overloaded by other packages to enable their types to be used with ArviZ.
 Gen.jl is a general-purpose probabilistic programming system with programmable inference, embedded in Julia. Arviz currently isn’t compatible with Gen.jl and our goal is to implement a converter similar to the ‘from_xyz’ methods that are currently available in Arviz,jl.",[],[],julia,Bayesian models
4, Juice Shop: Replacement for Protractor end-to-end & Frisby API test suite to Cypress ,Migration of the entire E2E test suite from the deprecated Protractor framework and the Frisby API test suite to the most widely used and community..., ShubhamPalriwala ," Mentor  Björn Kimminich, Timo Pagel, Jannik Hollenbach ", Organization  OWASP Foundation ,/archive/2022/projects/2J1Xedwf,https://medium.com/@shubhampalriwala/google-summer-of-code-journey-with-owasp-juice-shop-c1ca15c8e170,No,No,Migration of the entire E2E test suite from the deprecated Protractor framework and the Frisby API test suite to the most widely used and community accepted Cypress.,[],[],typescript,"security, testing"
5, GitHub App ,GitHub is the largest centralized repository for hosting open source projects and this app will enable the users to perform many GitHub activities..., Samad Yar Khan ," Mentor  Sing Li, Rohan Lekhwani ", Organization  rocket.chat ,/archive/2022/projects/dzvkQrUI,https://github.com/samad-yar-khan/Google-Summer-of-Code,No,No,"GitHub is the largest centralized repository for hosting open source projects and this app will enable the users to perform many GitHub activities right from Rocket.Chat. In this project, I plan on developing the GitHub app for Rocket.Chat which will improve the overall collaboration between developers. This app will enable users to fetch data from a repository, subscribe to various repository events, perform extensive GitHub search queries, open new issues, assign issues to team members, review pull requests and do much more right from Rocket.Chat.","['https://github.com/samad-yar-khan/Google-Summer-of-Code/pull/1', 'https://github.com/RocketChat/Apps.Github22/wiki/Pull-Request-Reviews--:-Integrating-Code-Editor-with-Syntax-Highlighting', 'https://github.com/RocketChat/Apps.Github22/pull/1', 'https://github.com/RocketChat/Apps.Github22/pull/7', 'https://github.com/RocketChat/Apps.Github22/pull/8', 'https://github.com/RocketChat/Apps.Github22/pull/11', 'https://github.com/RocketChat/Apps.Github22/pull/15', 'https://github.com/RocketChat/Apps.Github22/pull/16', 'https://github.com/RocketChat/Apps.Github22/pull/18', 'https://github.com/RocketChat/Apps.Github22/pull/20', 'https://github.com/RocketChat/fuselage/pull/766', 'https://github.com/RocketChat/Apps.Github22/wiki/Pull-Request-Reviews--:-Integrating-Code-Editor-with-Syntax-Highlighting', 'https://github.com/RocketChat/Apps.Github22/wiki/Pull-Request-Reviews--:-Integrating-Code-Editor-with-Syntax-Highlighting']","['https://github.com/RocketChat/Apps.Github22/issues/10', 'https://github.com/RocketChat/rocket.chat.app-poll/issues/12', 'https://github.com/RocketChat/rocket.chat.app-poll/issues/14', 'https://github.com/RocketChat/rocket.chat.app-poll/issues/13', 'https://github.com/RocketChat/rocket.chat.app-poll/issues/17', 'https://github.com/RocketChat/fuselage/issues/765', 'https://github.com/RocketChat/Apps.Github22/wiki/Open-New-Issues-from-Rocket.Chat', 'https://github.com/RocketChat/Apps.Github22/wiki/Assigning-issues-from-Rocket.Chat']","node.js, typescript, Rocket.chat, GithubAPI, Webhooks, Rocket.Chat.Apps-engine","collaboration, communication, github, Rocket.chat, WebHooks"
6, Positive Semi-definite Procrustes (PSDP) Problem ,Procrustes (a part of Theochem by QC-Devs) is a library for finding the optimal transformation that makes two matrices as close as possible to each..., Alapan Chaudhuri (Arjo) , Mentor  legend , Organization  Open Chemistry ,/archive/2022/projects/HPZ1bacs,https://banrovegrie.github.io/files/GSOC.pdf,No,No,"Procrustes (a part of Theochem by QC-Devs) is a library for finding the optimal transformation that makes two matrices as close as possible to each other. The main idea of this project is to solve and implement the problem of finding this optimal transformation when it is constrained to be a positive semi-definite matrix.

PSDP and its analog problems (like the nearest correlation matrix problem) have applications in molecular alignment, structure analysis, quantitative finance and machine learning.

As a part of the project, the intended contributions are two-fold. Firstly, the aim is to extend the Procrustes library to include algorithms solving PSDP as a new class of Procrustes problems along with benchmarking the implementations. Secondly, the plan is to introduce additional extensions to the library involving solutions to the PSDP problem where the trace, diagonal elements, or other linear constraints over the transformation (i.e., the matrix) are imposed.",[],[],"python, numpy, Scipy","Numerical Analysis, Mathematical Optimization, Procrustes"
7, Jenkinsfile Runner Action for GitHub Actions ,Jenkinsfile Runner Action creates the containerized pipeline execution in GitHub Actions by modifying the current structure of Jenkinsfile Runner and..., Cr1t-GYM ," Mentor  Kris Stern, Abhyudaya Sharma ", Organization  Jenkins ,/archive/2022/projects/0DADMrfK,https://www.jenkins.io/projects/gsoc/2022/projects/jenkinsfile-runner-action-for-github-actions/,No,Yes,Jenkinsfile Runner Action creates the containerized pipeline execution in GitHub Actions by modifying the current structure of Jenkinsfile Runner and several predefined docker images. The default version without configuration and JCasC style version with user's configuration are expected in the final pull requests.,[],[],"java, docker, jenkins","cloud, CI/CD, Containerized pipeline"
8, Submitty Progressive Web App ,"With today's dynamic technology , people interact more with their phones and tablets and in order to adapt with this change , PWAs offer a great...", Madhur Jain ," Mentor  Barbara Cutler, Shail Patel, Chris Reed, William Allen ", Organization  Submitty ,/archive/2022/projects/1P0Nl08m,https://submitty.org/developer/google_summer_of_code/2022_Madhur_Jain,No,Yes,"With today's dynamic technology , people interact more with their phones and tablets and in order to adapt with this change , PWAs offer a great solution with their ability to leverage the resource of a website and provide  a cross platform experience on any device with almost all features  a mobile app has to offer , like push notifications etc. One of essential prerequisites for PWAs is good integration of the web app in various resolutions. Submitty already has good support for most of it’s web features on mobiles and tablets and I would like to carry the work forward in the assimilation of more of its features and webpages in variety of display resolutions. With this done we can experiment and analyze various platforms in order to successfully implement the creation and maintenance of PWA for submitty , this will include exploring a platform that provides best support for all feature on variety of devices in the most optimal way.
After we are done with selection , work on essential components like Manifest,  Service worker , Caching and fetching of the assets, Optimal UI/UX for installation and other features could we worked upon. Then the work on some errors and compatibility issues could be done. Atlast the proper documentation for all the work including the usage , installation etc could be done.","['https://github.com/Submitty/Submitty/pull/8121', 'https://github.com/Submitty/Submitty/pull/8173', 'https://github.com/Submitty/Submitty/pull/7888', 'https://github.com/Submitty/Submitty/pull/7964', 'https://github.com/Submitty/Submitty/pull/7994', 'https://github.com/Submitty/Submitty/pull/8000', 'https://github.com/Submitty/Submitty/pull/7984', 'https://github.com/Submitty/Submitty/pull/8062', 'https://github.com/Submitty/Submitty/pull/8104', 'https://github.com/Submitty/Submitty/pull/8274']",[],"python, javascript, html, php, css","teaching, user interface, PWA, COURSE MANAGEMENT"
9, CodeLabz Project Proposal ,CodeLabz is a platform where the users can engage with online tutorials and the organizations can create tutorials for the users. The platform is..., Mohammad Sarfraz Alam ," Mentor  Charith, Nipuna Weerasekara, TSR, Kaplana, Hirantha ", Organization  SCoRe Lab ,/archive/2022/projects/wn0QHAVr,https://github.com/scorelab/GSoC/blob/master/GSoC-2022/04-Mohammad-Sarfraz-Alam-CodeLabz-Project-Proposal.md,No,No,CodeLabz is a platform where the users can engage with online tutorials and the organizations can create tutorials for the users. The platform is developed using ReactJS front end library and the back end is developed using the Google Cloud Firestore and Google Firebase Real-Time database. This summer I am going to develop and improve tthe User Interface and design the app.,"['https://github.com/scorelab/Codelabz/pulls?q=author%3ASarfraz-droid', 'https://github.com/scorelab/Codelabz/pull/299', 'https://github.com/scorelab/Codelabz/pull/302', 'https://github.com/scorelab/Codelabz/pull/303', 'https://github.com/scorelab/Codelabz/pull/309', 'https://github.com/scorelab/Codelabz/pull/316', 'https://github.com/scorelab/Codelabz/pull/302', 'https://github.com/scorelab/Codelabz/pull/331', 'https://github.com/scorelab/Codelabz/pull/332', 'https://github.com/scorelab/Codelabz/pull/335', 'https://github.com/scorelab/Codelabz/pull/336', 'https://github.com/scorelab/Codelabz/pull/346', 'https://github.com/scorelab/Codelabz/pull/354', 'https://github.com/scorelab/Codelabz/pull/362', 'https://github.com/scorelab/Codelabz/pull/367', 'https://github.com/scorelab/Codelabz/pull/370', 'https://github.com/scorelab/Codelabz/pull/374', 'https://github.com/scorelab/Codelabz/pull/390', 'https://github.com/scorelab/Codelabz/pull/399', 'https://github.com/scorelab/Codelabz/pull/401', 'https://github.com/scorelab/Codelabz/pull/404', 'https://github.com/scorelab/Codelabz/pull/415', 'https://github.com/scorelab/Codelabz/pull/421', 'https://github.com/scorelab/Codelabz/pull/432', 'https://github.com/scorelab/Codelabz/pull/435', 'https://github.com/scorelab/Codelabz/pull/448']","['https://github.com/scorelab/Codelabz/issues/298', 'https://github.com/scorelab/Codelabz/issues/293', 'https://github.com/scorelab/Codelabz/issues/300', 'https://github.com/scorelab/Codelabz/issues/289', 'https://github.com/scorelab/Codelabz/issues/330', 'https://github.com/scorelab/Codelabz/issues/329', 'https://github.com/scorelab/Codelabz/issues/334', 'https://github.com/scorelab/Codelabz/issues/333', 'https://github.com/scorelab/Codelabz/issues/329', 'https://github.com/scorelab/Codelabz/issues/353', 'https://github.com/scorelab/Codelabz/issues/351', 'https://github.com/scorelab/Codelabz/issues/366', 'https://github.com/scorelab/Codelabz/issues/369', 'https://github.com/scorelab/Codelabz/issues/373', 'https://github.com/scorelab/Codelabz/issues/389', 'https://github.com/scorelab/Codelabz/issues/389', 'https://github.com/scorelab/Codelabz/issues/400', 'https://github.com/scorelab/Codelabz/issues/403', 'https://github.com/scorelab/Codelabz/issues/414', 'https://github.com/scorelab/Codelabz/issues/411', 'https://github.com/scorelab/Codelabz/issues/431', 'https://github.com/scorelab/Codelabz/issues/434', 'https://github.com/scorelab/Codelabz/issues/433']","javascript, react",web
10, Improve Card Browser ,"The Card Browser is an integral part of the AnkiDroid ecosystem, and through this project, my aim is to port more functionality from Anki Desktop to...", Akshit Sinha ," Mentor  David, Arthur Milchior ", Organization  AnkiDroid ,/archive/2022/projects/Szuxr74f,https://gist.github.com/viciousAegis/602a64c47d2a1594bbf6e0647b5bd039,No,Yes,"The Card Browser is an integral part of the AnkiDroid ecosystem, and through this project, my aim is to port more functionality from Anki Desktop to it in order to offer a closer-to-desktop experience, as well as to improve the UX offered for the Card Browser to make it more intuitive and accessible for users. As improvements, I plan to deliver the following:

Add a Sidebar, which contains filtering options the same way as it appears for Anki Desktop.

Switch between showing Notes and Cards in the browser. This feature is to be ported from Anki Desktop. 

Implementing RecyclerView instead of ListView for displaying Cards/Notes, and moving to a “Single Column, Two Rows” (SCTR) layout for Cards.

Implement export of selected Cards from the Browser directly.","['https://github.com/ankidroid/Anki-Android/pull/11867', 'https://github.com/ankidroid/Anki-Android/pull/11908', 'https://github.com/ankidroid/Anki-Android/pull/12035', 'https://github.com/ankidroid/Anki-Android/pull/12339', 'https://github.com/ankidroid/Anki-Android/pull/12396', 'https://github.com/ankidroid/Anki-Android/pull/12397', 'https://github.com/ankidroid/Anki-Android/pull/12398', 'https://github.com/ankidroid/Anki-Android/pull/12399', 'https://github.com/ankidroid/Anki-Android/pull/12400', 'https://github.com/ankidroid/Anki-Android/pull/12524', 'https://github.com/ankidroid/Anki-Android/pull/11687', 'https://github.com/ankidroid/Anki-Android/pull/11712', 'https://github.com/ankidroid/Anki-Android/pull/11713', 'https://github.com/ankidroid/Anki-Android/pull/11863', 'https://github.com/ankidroid/Anki-Android/pull/11870', 'https://github.com/ankidroid/Anki-Android/pull/11875', 'https://github.com/ankidroid/Anki-Android/pull/12297', 'https://github.com/ankidroid/Anki-Android/pull/12145', 'https://github.com/ankidroid/Anki-Android/pull/12378']",[],"android, xml, kotlin, Android UI/UX","ui/ux, design, android, App"
